Text,Topic,Questions
Difference between Paging and Segmentation:,os paging vs segmentation,"

Easy Questions:
1. What is the difference between paging and segmentation?
2. What is paging?
3. What is segmentation?

Medium Questions:
1. What are the advantages of paging over segmentation?
2. How does segmentation improve memory management?
3. What are the disadvantages of segmentation?

Hard Questions:
1. How does segmentation help in reducing the external fragmentation?
2. How does segmentation help in reducing the internal fragmentation?
3. How does segmentation help in improving the performance of the system?

Multiple Choice Questions:
1. What is the main difference between paging and segmentation?
a. Paging divides memory into fixed-sized blocks while segmentation divides memory into variable-sized blocks
b. Paging divides memory into variable-sized blocks while segmentation divides memory into fixed-sized blocks
c. Paging divides memory into multiple blocks while segmentation divides memory into single block
d. Paging divides memory into single block while segmentation divides memory into multiple blocks

2. What is the main advantage of segmentation over paging?
a. Segmentation reduces external fragmentation
b. Segmentation reduces internal fragmentation
c. Segmentation improves memory management
d. Segmentation improves performance of the system

3. What is the main disadvantage of segmentation?
a. Segmentation increases external fragmentation
b. Segmentation increases internal fragmentation
c. Segmentation reduces memory management
d. Segmentation reduces performance of the system"
"Segmented Paging:Pure segmentation is not very popular and not being used in many of the operating systems. However, Segmentation can be combined with Paging to get the best features out of both the techniques.In Segmented Paging, the main memory is divided into variable size segments which are further divided into fixed size pages.Segment Number → It points to the appropriate Segment Number.Page Number → It Points to the exact page within the segmentPage Offset → Used as an offset within the page frameEach Page table contains the various information about every page of the segment. The Segment Table contains the information about every segment. Each segment table entry points to a page table entry and every page table entry is mapped to one of the page within a segment.Translation of logical address to physical address:The CPU generates a logical address which is divided into two parts: Segment Number and Segment Offset. The Segment Offset must be less than the segment limit. Offset is further divided into Page number and Page Offset. To map the exact page number in the page table, the page number is added into the page table base.The actual frame number with the page offset is mapped to the main memory to get the desired word in the page of the certain segment of the process.Advantages of Segmented Paging:Disadvantages of Segmented Paging:",os segmented paging,"

Easy Questions:
1. What is Segmented Paging?
2. What is the purpose of the Segment Number?
3. What is the purpose of the Page Offset?

Medium Questions:
1. How is a logical address translated to a physical address?
2. What are the advantages of Segmented Paging?
3. What are the disadvantages of Segmented Paging?

Hard Questions:
1. How is the page number mapped to the page table?
2. How is the page offset used to map the exact page number in the page table?
3. How is the actual frame number with the page offset mapped to the main memory?

Multiple Choice Questions:
1. What is the purpose of the Segment Number?
A. To point to the appropriate Segment Number
B. To point to the exact page within the segment
C. To be used as an offset within the page frame
D. To map the exact page number in the page table

2. How is a logical address translated to a physical address?
A. By adding the page number to the page table base
B. By dividing the logical address into two parts
C. By mapping the page offset to the main memory
D. By mapping the actual frame number with the page offset

3. What are the advantages of Segmented Paging?
A. Variable size segments
B. Fixed size pages
C. Easier memory management
D. Faster access to data"
"What is a File ?:A file can be defined as a data structure which stores the sequence of records. Files are stored in a file system, which may exist on a disk or in the main memory. Files can be simple (plain text) or complex (specially-formatted).The collection of files is known as Directory. The collection of directories at the different levels, is known as File System.Attributes of the File:1.NameEvery file carries a name by which the file is recognized in the file system. One directory cannot have two files with the same name.2.IdentifierAlong with the name, Each File has its own extension which identifies the type of the file. For example, a text file has the extension .txt, A video file can have the extension .mp4.3.TypeIn a File System, the Files are classified in different types such as video files, audio files, text files, executable files, etc.4.LocationIn the File System, there are several locations on which, the files can be stored. Each file carries its location as its attribute.5.SizeThe Size of the File is one of its most important attribute. By size of the file, we mean the number of bytes acquired by the file in the memory.6.ProtectionThe Admin of the computer may want the different protections for the different files. Therefore each file carries its own set of permissions to the different group of Users.7.Time and DateEvery file carries a time stamp which contains the time and date on which the file is last modified.",os attributes of the file,"

Easy Questions:
1. What is a file?
2. What is a directory?
3. What is a file system?

Medium Questions:
1. What are the attributes of a file?
2. What is the purpose of a file extension?
3. What is the purpose of a time stamp?

Hard Questions:
1. How is a file system organized?
2. How is access to files controlled?
3. How is the size of a file determined?

Multiple Choice Questions:
1. What is the purpose of a file extension?
A. To identify the type of file
B. To identify the location of the file
C. To identify the size of the file
D. To identify the time and date of the file

2. What is the collection of files known as?
A. File System
B. Directory
C. Time Stamp
D. Extension

3. How is access to files controlled?
A. By the size of the file
B. By the type of the file
C. By the permissions of the file
D. By the name of the file"
"Operations on the File:A file is a collection of logically related data that is recorded on the secondary storage in the form of sequence of operations. The content of the files are defined by its creator who is creating the file. The various operations which can be implemented on a file such as read, write, open and close etc. are called file operations. These operations are performed by the user by using the commands provided by the operating system. Some common operations are as follows:1.Create operation:This operation is used to create a file in the file system. It is the most widely used operation performed on the file system. To create a new file of a particular type the associated application program calls the file system. This file system allocates space to the file. As the file system knows the format of directory structure, so entry of this new file is made into the appropriate directory. 2. Open operation:This operation is the common operation performed on the file. Once the file is created, it must be opened before performing the file processing operations. When the user wants to open a file, it provides a file name to open the particular file in the file system. It tells the operating system to invoke the open system call and passes the file name to the file system. 3. Write operation:This operation is used to write the information into a file. A system call write is issued that specifies the name of the file and the length of the data has to be written to the file. Whenever the file length is increased by specified value and the file pointer is repositioned after the last byte written.4. Read operation:This operation reads the contents from a file. A Read pointer is maintained by the OS, pointing to the position up to which the data has been read.5. Re-position or Seek operation:The seek system call re-positions the file pointers from the current position to a specific place in the file i.e. forward or backward depending upon the user's requirement. This operation is generally performed with those file management systems that support direct access files.6. Delete operation:Deleting the file will not only delete all the data stored inside the file it is also used so that disk space occupied by it is freed. In order to delete the specified file the directory is searched. When the directory entry is located, all the associated file space and the directory entry is released.7. Truncate operation:Truncating is simply deleting the file except deleting attributes. The file is not completely deleted although the information stored inside the file gets replaced.8. Close operation:When the processing of the file is complete, it should be closed so that all the changes made permanent and all the resources occupied should be released. On closing it deallocates all the internal descriptors that were created when the file was opened.9. Append operation:This operation adds data to the end of the file.10. Rename operation:This operation is used to rename the existing file.",os operations on the file,"

Easy Questions:
1. What is a file?
2. What are the operations that can be performed on a file?
3. What is the Create operation?

Medium Questions:
1. What is the purpose of the Open operation?
2. What is the difference between the Delete and Truncate operations?
3. How does the Close operation work?

Hard Questions:
1. How does the operating system know the format of the directory structure?
2. How does the Read operation work?
3. What is the purpose of the Append operation?

Multiple Choice Questions:
1. What is the purpose of the Rename operation?
A. To delete the file
B. To rename the existing file
C. To add data to the end of the file
D. To re-position the file pointer

2. What is the purpose of the Write operation?
A. To delete the file
B. To rename the existing file
C. To add data to the end of the file
D. To write the information into a file

3. What is the purpose of the Seek operation?
A. To delete the file
B. To rename the existing file
C. To add data to the end of the file
D. To re-position the file pointer"
"File Access Methods:Let's look at various ways to access files stored in secondary memory.Sequential Access:Most of the operating systems access the file sequentially. In other words, we can say that most of the files need to be accessed sequentially by the operating system.In sequential access, the OS read the file word by word. A pointer is maintained which initially points to the base address of the file. If the user wants to read first word of the file then the pointer provides that word to the user and increases its value by 1 word. This process continues till the end of the file.Modern word systems do provide the concept of direct access and indexed access but the most used method is sequential access due to the fact that most of the files such as text files, audio files, video files, etc need to be sequentially accessed.Direct Access:The Direct Access is mostly required in the case of database systems. In most of the cases, we need filtered information from the database. The sequential access can be very slow and inefficient in such cases.Suppose every block of the storage stores 4 records and we know that the record we needed is stored in 10th block. In that case, the sequential access will not be implemented because it will traverse all the blocks in order to access the needed record.Indexed Access:If a file can be sorted on any of the filed then an index can be assigned to a group of certain records. However, A particular record can be accessed by its index. The index is nothing but the address of a record in the file.In index accessing, searching in a large database became very quick and easy but we need to have some extra space in the memory to store the index value.",os file access methods,"

Easy Questions:
1. What is the most used method of file access?
2. What is the purpose of a pointer in sequential access?
3. What is the purpose of indexed access?

Medium Questions:
1. What are the advantages of direct access over sequential access?
2. How does indexed access improve searching in a large database?
3. What is the difference between direct access and indexed access?

Hard Questions:
1. How does the operating system determine the base address of a file?
2. How does the operating system determine the size of a file?
3. What are the challenges associated with implementing direct access and indexed access?

Multiple Choice Questions:
1. What is the most used method of file access?
A. Sequential Access
B. Direct Access
C. Indexed Access
D. Random Access

2. What is the purpose of a pointer in sequential access?
A. To store the base address of the file
B. To store the size of the file
C. To store the index of the file
D. To store the address of the next record

3. How does indexed access improve searching in a large database?
A. By providing direct access to the records
B. By providing random access to the records
C. By providing faster access to the records
D. By providing indexed access to the records"
"Directory Structure in OS (Operating System):What is a directory?:Directory can be defined as the listing of the related files on the disk. The directory may store some or the entire file attributes.To get the benefit of different file systems on the different operating systems, A hard disk can be divided into the number of partitions of different sizes. The partitions are also called volumes or mini disks.Each partition must have at least one directory in which, all the files of the partition can be listed. A directory entry is maintained for each file in the directory which stores all the information related to that file.A directory can be viewed as a file which contains the Meta data of the bunch of files.Every Directory supports a number of common operations on the file:",os directory structure,"

Easy Questions:
1. What is a directory?
2. What is a partition?
3. What is a directory entry?

Medium Questions:
1. What is the purpose of a directory?
2. How is a directory different from a file?
3. What are the common operations on a file supported by a directory?

Hard Questions:
1. How can a hard disk be divided into different partitions?
2. How can the different file systems on different operating systems be used?
3. What is the minimum number of directories that must be present in a partition?

Multiple Choice Questions:
1. What is a directory?
A. A listing of related files on the disk
B. A file which contains the Meta data of a bunch of files
C. A partition of a hard disk
D. A directory entry

Answer: A. A listing of related files on the disk

2. What is the minimum number of directories that must be present in a partition?
A. 1
B. 2
C. 3
D. 4

Answer: A. 1

3. What are the common operations on a file supported by a directory?
A. Create, Read, Update, Delete
B. Create, Read, Write, Delete
C. Create, Read, Update, Copy
D. Create, Read, Write, Copy

Answer: B. Create, Read, Write, Delete"
Single Level Directory:The simplest method is to have one big list of all the files on the disk. The entire system will contain only one directory which is supposed to mention all the files present in the file system. The directory contains one entry per each file present on the file system.This type of directories can be used for a simple system.Advantages:Disadvantages:,os single level directory,"

Easy Questions:
1. What is a single level directory?
2. What is the simplest method of organizing files on a disk?
3. What is the purpose of a single level directory?

Medium Questions:
1. What are the advantages of using a single level directory?
2. How does a single level directory work?
3. What type of system is best suited for a single level directory?

Hard Questions:
1. How can a single level directory be improved to better suit a complex system?
2. What are the security implications of using a single level directory?
3. How can a single level directory be optimized for better performance?

Multiple Choice Questions:
1. What is the purpose of a single level directory?
a. To organize files on a disk
b. To store files on a disk
c. To provide access to files on a disk
d. To manage files on a disk

2. What type of system is best suited for a single level directory?
a. Simple system
b. Complex system
c. Small system
d. Large system

3. What are the advantages of using a single level directory?
a. Easy to use
b. Easy to maintain
c. Easy to access
d. All of the above"
"Two Level Directory:In two level directory systems, we can create a separate directory for each user. There is one master directory which contains separate directories dedicated to each user. For each user, there is a different directory present at the second level, containing group of user's file. The system doesn't let a user to enter in the other user's directory without permission.Characteristics of two level directory system:Every Operating System maintains a variable as PWD which contains the present directory name (present user name) so that the searching can be done appropriately.",os two level directory,"

Easy Questions:
1. What is a two level directory system?
2. What is the purpose of the master directory?
3. What is the purpose of the PWD variable?

Medium Questions:
1. How does the two level directory system prevent users from entering other user's directories?
2. What is the difference between a two level directory system and a single level directory system?
3. How does the two level directory system keep track of the present user name?

Hard Questions:
1. How can the two level directory system be used to improve security?
2. How can the two level directory system be used to improve efficiency?
3. What are the advantages and disadvantages of using a two level directory system?

Multiple Choice Questions:
1. What is the purpose of the master directory in a two level directory system?
A. To store user files
B. To store user directories
C. To store user permissions
D. To store user passwords

2. What is the purpose of the PWD variable?
A. To store the present user name
B. To store the present directory name
C. To store the present user permissions
D. To store the present user password

3. How does the two level directory system prevent users from entering other user's directories?
A. By using passwords
B. By using permissions
C. By using encryption
D. By using authentication"
"Tree Structured Directory:In Tree structured directory system, any directory entry can either be a file or sub directory. Tree structured directory system overcomes the drawbacks of two level directory system. The similar kind of files can now be grouped in one directory.Each user has its own directory and it cannot enter in the other user's directory. However, the user has the permission to read the root's data but he cannot write or modify this. Only administrator of the system has the complete access of root directory.Searching is more efficient in this directory structure. The concept of current working directory is used. A file can be accessed by two types of path, either relative or absolute.Absolute path is the path of the file with respect to the root directory of the system while relative path is the path with respect to the current working directory of the system. In tree structured directory systems, the user is given the privilege to create the files as well as directories.Permissions on the file and directory:A tree structured directory system may consist of various levels therefore there is a set of permissions assigned to each file and directory.The permissions are R W X which are regarding reading, writing and the execution of the files or directory. The permissions are assigned to three types of users: owner, group and others.There is a identification bit which differentiate between directory and file. For a directory, it is d and for a file, it is dot (.)The following snapshot shows the permissions assigned to a file in a Linux based system. Initial bit d represents that it is a directory.",os tree structured directory,"

Easy Questions:
1. What is a Tree Structured Directory?
2. What is the purpose of a Tree Structured Directory?
3. What are the permissions assigned to a file in a Linux based system?

Medium Questions:
1. What are the two types of paths used to access a file?
2. What are the three types of users that have permissions on a file or directory?
3. What is the identification bit that differentiates between a directory and a file?

Hard Questions:
1. How does a Tree Structured Directory system overcome the drawbacks of a two level directory system?
2. How does the concept of current working directory work in a Tree Structured Directory system?
3. What are the advantages of using a Tree Structured Directory system?

Multiple Choice Questions:
1. What is the identification bit that differentiates between a directory and a file?
A. d
B. .
C. R
D. W

2. What are the permissions assigned to a file in a Linux based system?
A. R W X
B. Read Write Execute
C. Read Write Delete
D. Read Only

3. What are the two types of paths used to access a file?
A. Relative and Absolute
B. Read and Write
C. Read and Execute
D. Write and Execute"
"Acyclic-Graph Structured Directories:The tree structured directory system doesn't allow the same file to exist in multiple directories therefore sharing is major concern in tree structured directory system. We can provide sharing by making the directory an acyclic graph. In this system, two or more directory entry can point to the same file or sub directory. That file or sub directory is shared between the two directory entries.These kinds of directory graphs can be made using links or aliases. We can have multiple paths for a same file. Links can either be symbolic (logical) or hard link (physical).If a file gets deleted in acyclic graph structured directory system, then1. In the case of soft link, the file just gets deleted and we are left with a dangling pointer.2. In the case of hard link, the actual file will be deleted only if all the references to it gets deleted.",os acyclic graph directories,"

Easy Questions:
1. What is an acyclic graph structured directory?
2. What is the advantage of using an acyclic graph structured directory?
3. What is the difference between a soft link and a hard link?

Medium Questions:
1. How can an acyclic graph structured directory be made?
2. What happens when a file is deleted in an acyclic graph structured directory?
3. What is the purpose of using links or aliases in an acyclic graph structured directory?

Hard Questions:
1. How does an acyclic graph structured directory system provide sharing?
2. What are the implications of using a tree structured directory system for sharing?
3. How can multiple paths for a same file be created in an acyclic graph structured directory?

Multiple Choice Questions:
1. What happens when a file is deleted in an acyclic graph structured directory?
A. The file is deleted and a dangling pointer is left
B. The actual file is deleted
C. The file is moved to a different directory
D. The file is shared between two directory entries

Answer: A. The file is deleted and a dangling pointer is left

2. What is the purpose of using links or aliases in an acyclic graph structured directory?
A. To create multiple paths for a same file
B. To provide sharing
C. To make the directory an acyclic graph
D. To delete the file

Answer: A. To create multiple paths for a same file

3. How does an acyclic graph structured directory system provide sharing?
A. By allowing the same file to exist in multiple directories
B. By making the directory an acyclic graph
C. By using links or aliases
D. By deleting the file

Answer: C. By using links or aliases"
"File Systems:File system is the part of the operating system which is responsible for file management. It provides a mechanism to store the data and access to the file contents including data and programs. Some Operating systems treats everything as a file for example Ubuntu.The File system takes care of the following issuesWe have seen various data structures in which the file can be stored. The task of the file system is to maintain an optimal file structure.Whenever a file gets deleted from the hard disk, there is a free space created in the disk. There can be many such spaces which need to be recovered in order to reallocate them to other files.The major concern about the file is deciding where to store the files on the hard disk. There are various disks scheduling algorithm which will be covered later in this tutorial.A File may or may not be stored within only one block. It can be stored in the non contiguous blocks on the disk. We need to keep track of all the blocks on which the part of the files reside.",os file system,"

Easy Questions:
1. What is a file system?
2. What is the purpose of a file system?
3. What operating system treats everything as a file?

Medium Questions:
1. What are the various data structures in which a file can be stored?
2. What is the task of the file system?
3. What is the major concern about the file?

Hard Questions:
1. How does the file system recover free spaces in the disk?
2. What are the various disk scheduling algorithms?
3. How does the file system keep track of all the blocks on which the part of the files reside?

Multiple Choice Questions:
1. What is the purpose of a file system?
a. To store data
b. To access file contents
c. To maintain an optimal file structure
d. All of the above

2. What is the major concern about the file?
a. Deciding where to store the files on the hard disk
b. Recovering free spaces in the disk
c. Storing the files in the non contiguous blocks
d. All of the above

3. What are the various disk scheduling algorithms?
a. First Come First Serve
b. Shortest Seek Time First
c. Round Robin
d. All of the above"
"File System Structure:File System provide efficient access to the disk by allowing data to be stored, located and retrieved in a convenient way. A file System must be able to store the file, locate the file and retrieve the file.Most of the Operating Systems use layering approach for every task including file systems. Every layer of the file system is responsible for some activities.The image shown below, elaborates how the file system is divided in different layers, and also the functionality of each layer.",os file system structure,"

Easy Questions:
1. What is a File System?
2. What is the purpose of a File System?
3. What is the layering approach used for File System?

Medium Questions:
1. What are the different layers of a File System?
2. What is the purpose of each layer of the File System?
3. How does the File System provide efficient access to the disk?

Hard Questions:
1. How does the File System ensure data integrity?
2. How does the File System ensure data security?
3. How does the File System ensure data availability?

Multiple Choice Questions:
1. What is the purpose of a File System?
A. To store data
B. To locate data
C. To retrieve data
D. All of the above

2. What is the layering approach used for File System?
A. Hierarchical
B. Modular
C. Object-oriented
D. Functional

3. How does the File System provide efficient access to the disk?
A. By storing data
B. By locating data
C. By retrieving data
D. By organizing data"
"Master Boot Record (MBR):Master boot record is the information present in the first sector of any hard disk. It contains the information regarding how and where the Operating system is located in the hard disk so that it can be booted in the RAM.MBR is sometimes called master partition table because it includes a partition table which locates every partition in the hard disk.Master boot record (MBR) also includes a program which reads the boot sector record of the partition that contains operating system.What happens when you turn on your computer?:Due to the fact that the main memory is volatile, when we turn on our computer, CPUcannot access the main memory directly. However, there is a special program called as BIOS stored in ROM is accessed for the first time by the CPU.BIOS contains the code, by executing which, the CPU access the very first partition of hard disk that is MBR. It contains a partition table for all the partitions of the hard disk.Since, MBR contains the information about where the operating system is being stored and it also contains a program which can read the boot sector record of the partition, hence the CPU fetches all this information and load the operating system into the main memory.",os master boot record,"

Easy Questions:
1. What is a Master Boot Record?
2. What is stored in the MBR?
3. What is the purpose of the MBR?

Medium Questions:
1. What is the role of BIOS in the boot process?
2. What is the difference between MBR and BIOS?
3. What is the purpose of the partition table in the MBR?

Hard Questions:
1. How does the CPU access the MBR when the computer is turned on?
2. How does the CPU know which partition contains the operating system?
3. What is the difference between the main memory and ROM?

Multiple Choice Questions:
1. What is the first sector of a hard disk called?
a. BIOS
b. MBR
c. Partition Table
d. Boot Sector

2. What is the purpose of the MBR?
a. To store the operating system
b. To locate the operating system
c. To read the boot sector record
d. To access the main memory

3. What is the role of BIOS in the boot process?
a. To store the operating system
b. To locate the operating system
c. To read the boot sector record
d. To access the main memory"
"On Disk Data Structures:There are various on disk data structures that are used to implement a file system. This structure may vary depending upon the operating system.Boot Control Block contains all the information which is needed to boot an operating system from that volume. It is called boot block in UNIX file system. In NTFS, it is called the partition boot sector.Volume control block all the information regarding that volume such as number of blocks, size of each block, partition table, pointers to free blocks and free FCB blocks. In UNIX file system, it is known as super block. In NTFS, this information is stored inside master file table.A directory structure (per file system) contains file names and pointers to corresponding FCBs. In UNIX, it includes inode numbers associated to file names.File Control block contains all the details about the file such as ownership details, permission details, file size,etc. In UFS, this detail is stored in inode. In NTFS, this information is stored inside master file table as a relational database structure. A typical file control block is shown in the image below.",os on disk data structures,"

Easy Questions:
1. What is the Boot Control Block?
2. What is the Volume Control Block?
3. What is the Directory Structure?

Medium Questions:
1. What is the purpose of the File Control Block?
2. How is the File Control Block stored in UNIX file system?
3. How is the File Control Block stored in NTFS?

Hard Questions:
1. What are the differences between the Boot Control Block in UNIX and NTFS?
2. How does the Volume Control Block store information in UNIX and NTFS?
3. What are the differences between the Directory Structure in UNIX and NTFS?

Multiple Choice Questions:
1. What is the File Control Block?
a. A structure that contains all the information which is needed to boot an operating system from that volume
b. A structure that contains all the details about the file such as ownership details, permission details, file size,etc
c. A structure that contains file names and pointers to corresponding FCBs
d. A structure that contains all the information regarding that volume such as number of blocks, size of each block, partition table, pointers to free blocks and free FCB blocks

2. What is the Volume Control Block?
a. A structure that contains all the information which is needed to boot an operating system from that volume
b. A structure that contains all the details about the file such as ownership details, permission details, file size,etc
c. A structure that contains file names and pointers to corresponding FCBs
d. A structure that contains all the information regarding that volume such as number of blocks, size of each block, partition table, pointers to free blocks and free FCB blocks

3. How is the File Control Block stored in UNIX file system?
a. In a super block
b. In a master file table
c. In an inode
d. In a partition boot sector"
"In Memory Data Structure:Till now, we have discussed the data structures that are required to be present on the hard disk in order to implement file systems. Here, we will discuss the data structures required to be present in memory in order to implement the file system.The in-memory data structures are used for file system management as well as performance improvement via caching. This information is loaded on the mount time and discarded on ejection.In-memory mount table contains the list of all the devices which are being mounted to the system. Whenever the connection is maintained to a device, its entry will be done in the mount table.This is the list of directory which is recently accessed by the CPU. The directories present in the list can also be accessed in the near future so it will be better to store them temporally in cache.This is the list of all the open files in the system at a particular time. Whenever the user open any file for reading or writing, the entry will be made in this open file table.It is the list of open files subjected to every process. Since there is already a list which is there for every open file in the system thereforeIt only contains Pointers to the appropriate entry in the system wide table.",os in memory data structures,"

Easy Questions:
1. What is an in-memory data structure?
2. What is the purpose of an in-memory mount table?
3. What is an open file table?

Medium Questions:
1. What information is loaded on mount time?
2. How does caching improve performance?
3. What is the purpose of an open file table for every process?

Hard Questions:
1. How does the in-memory data structure interact with the file system?
2. How does the in-memory mount table ensure the connection is maintained?
3. What is the difference between the system wide open file table and the open file table for every process?

Multiple Choice Questions:
1. What is the purpose of an in-memory mount table?
A. To store the list of all the devices which are being mounted to the system
B. To store the list of all the open files in the system
C. To store the list of all the directories which are recently accessed by the CPU
D. To store the list of all the open files subjected to every process

2. What is the purpose of an open file table for every process?
A. To store the list of all the devices which are being mounted to the system
B. To store the list of all the open files in the system
C. To store the list of all the directories which are recently accessed by the CPU
D. To store the list of all the open files subjected to every process

3. How does caching improve performance?
A. By storing the list of all the devices which are being mounted to the system
B. By storing the list of all the open files in the system
C. By storing the list of all the directories which are recently accessed by the CPU
D. By storing the data in memory for quick access"
"Directory Implementation:There is the number of algorithms by using which, the directories can be implemented. However, the selection of an appropriate directory implementation algorithm may significantly affect the performance of the system.The directory implementation algorithms are classified according to the data structure they are using. There are mainly two algorithms which are used in these days.1. Linear List:In this algorithm, all the files in a directory are maintained as singly lined list. Each file contains the pointers to the data blocks which are assigned to it and the next file in the directory.Characteristics2. Hash Table:To overcome the drawbacks of singly linked list implementation of directories, there is an alternative approach that is hash table. This approach suggests to use hash table along with the linked lists.A key-value pair for each file in the directory gets generated and stored in the hash table. The key can be determined by applying the hash function on the file name while the key points to the corresponding file stored in the directory.Now, searching becomes efficient due to the fact that now, entire list will not be searched on every operating. Only hash table entries are checked using the key and if an entry found then the corresponding file will be fetched using the value.",os directory implementation,"

Easy Questions:
1. What are the two algorithms used for directory implementation?
2. What is the purpose of a hash table in directory implementation?
3. What is the data structure used in linear list algorithm?

Medium Questions:
1. What are the characteristics of linear list algorithm?
2. How does the hash table approach improve the performance of the system?
3. What is the purpose of a hash function in directory implementation?

Hard Questions:
1. How does the hash table approach reduce the complexity of searching?
2. What are the advantages and disadvantages of linear list algorithm?
3. How can the directory implementation algorithms be classified?

Multiple Choice Questions:
1. What is the data structure used in linear list algorithm?
a. Hash Table
b. Linked List
c. Binary Tree
d. Array

2. What is the purpose of a hash table in directory implementation?
a. To store the file names
b. To store the data blocks
c. To generate a key-value pair for each file
d. To search the entire list

3. How does the hash table approach improve the performance of the system?
a. By reducing the complexity of searching
b. By increasing the complexity of searching
c. By increasing the speed of searching
d. By reducing the speed of searching"
Allocation Methods:There are various methods which can be used to allocate disk space to the files. Selection of an appropriate allocation method will significantly affect the performance and efficiency of the system. Allocation method provides a way in which the disk will be utilized and the files will be accessed.We will discuss three of the most used methods in detail.,os allocation methods,"

Easy Questions:
1. What are the various methods used to allocate disk space?
2. What is the purpose of an allocation method?
3. How does the selection of an allocation method affect the system?

Medium Questions:
1. What are the three most used allocation methods?
2. How does an allocation method affect the performance of the system?
3. What are the advantages and disadvantages of each allocation method?

Hard Questions:
1. How can the allocation method be optimized for better performance?
2. How can the allocation method be used to improve the efficiency of the system?
3. What are the implications of using different allocation methods in different scenarios?

Multiple Choice Questions:
1. What is the purpose of an allocation method?
A. To provide a way to access files
B. To provide a way to store files
C. To provide a way to utilize disk space
D. To provide a way to manage disk space

2. How does the selection of an allocation method affect the system?
A. It increases the performance
B. It decreases the performance
C. It increases the efficiency
D. It decreases the efficiency

3. What are the three most used allocation methods?
A. First-fit, Best-fit, Worst-fit
B. First-come, First-served, Worst-fit
C. First-come, First-served, Best-fit
D. First-fit, Worst-fit, Best-fit"
"Contiguous Allocation:If the blocks are allocated to the file in such a way that all the logical blocks of the file get the contiguous physical block in the hard disk then such allocation scheme is known as contiguous allocation.In the image shown below, there are three files in the directory. The starting block and the length of each file are mentioned in the table. We can check in the table that the contiguous blocks are assigned to each file as per its need.Advantages:Disadvantages:",os contiguous allocation,"

Easy Questions:
1. What is Contiguous Allocation?
2. What is shown in the image below?
3. What are the advantages of Contiguous Allocation?

Medium Questions:
1. What is the purpose of assigning contiguous blocks to each file?
2. How does Contiguous Allocation improve disk performance?
3. What are the limitations of Contiguous Allocation?

Hard Questions:
1. How does Contiguous Allocation handle fragmentation?
2. How does Contiguous Allocation handle file growth?
3. How does Contiguous Allocation handle file deletion?

Multiple Choice Questions:
1. What is the purpose of assigning contiguous blocks to each file?
a. To improve disk performance
b. To reduce fragmentation
c. To improve file access
d. To reduce file growth

2. What are the advantages of Contiguous Allocation?
a. Improved disk performance
b. Reduced fragmentation
c. Improved file access
d. All of the above

3. How does Contiguous Allocation handle file deletion?
a. It creates more fragmentation
b. It reduces disk performance
c. It improves file access
d. It reduces file growth"
"Linked List Allocation:Linked List allocation solves all problems of contiguous allocation. In linked list allocation, each file is considered as the linked list of disk blocks. However, the disks blocks allocated to a particular file need not to be contiguous on the disk. Each disk block allocated to a file contains a pointer which points to the next disk block allocated to the same file.Advantages:Disadvantages :",os linked list allocation,"

Easy Questions:
1. What is Linked List Allocation?
2. What are the advantages of Linked List Allocation?
3. What are the disadvantages of Linked List Allocation?

Medium Questions:
1. How does Linked List Allocation solve the problems of contiguous allocation?
2. What is the purpose of the pointer in each disk block allocated to a file?
3. How does Linked List Allocation differ from contiguous allocation?

Hard Questions:
1. What are the implications of Linked List Allocation on disk access time?
2. How does Linked List Allocation affect the performance of the system?
3. What are the security implications of Linked List Allocation?

Multiple Choice Questions:
1. What is the purpose of the pointer in each disk block allocated to a file?
A. To point to the next disk block allocated to the same file
B. To point to the previous disk block allocated to the same file
C. To point to the first disk block allocated to the same file
D. To point to the last disk block allocated to the same file

2. What are the advantages of Linked List Allocation?
A. Faster disk access time
B. More efficient memory utilization
C. Easier to manage
D. All of the above

3. What are the disadvantages of Linked List Allocation?
A. Slower disk access time
B. Less efficient memory utilization
C. Harder to manage
D. None of the above"
